id,institution
614,St. Norbert
615,St. Olaf
618,St. Scholastica
506474,St. Thomas (CAN)
504653,St. Thomas (FL)
620,St. Thomas (MN)
2810,St. Thomas (TX)
1348,St. Thomas Aquinas
504660,St. Xavier
674,Stanford
103,Stanislaus St.
675,Staten Island
506407,Stephens College
506073,Sterling (KS)
678,Stetson
679,Stevens
21852,Stevenson
506508,Stillman
681,Stockton
682,Stonehill
683,Stony Brook
684,Suffolk
1390,Sul Ross St.
30165,SUNY Canton
168,SUNY Cortland
30225,SUNY Delhi
506380,SUNY ESF
247,SUNY Geneseo
478,SUNY Maritime
475,SUNY New Paltz
526,SUNY Oneonta
9500,SUNY Poly
552,SUNY Potsdam
685,Susquehanna
686,Swarthmore
687,Sweet Briar
505028,S'western Adventist
506149,S'western Assemblies
688,Syracuse
506050,Tabor
505160,Talladega
689,Tampa
1395,Tarleton St.
506071,Taylor (IN)
506394,TBA
712,TCNJ
698,TCU
690,Temple
505215,Tenn. Temple
505220,Tenn. Wesleyan
694,Tennessee
691,Tennessee St.
692,Tennessee Tech
30090,Tex. A&M Int'l
199,Tex. A&M-Commerce
696,Tex. A&M-Kingsville
506487,Tex. A&M-Texarkana
30088,Tex. Permian Basin
703,Texas
697,Texas A&M
505260,Texas Col.
1400,Texas Lutheran
699,Texas Southern
670,Texas St.
700,Texas Tech
506403,Texas Wesleyan
701,Texas Woman's
506321,Texas-Brownsville
23121,Texas-Dallas
30028,Texas-Tyler
141,The Citadel
707,Thiel
506315,Thomas (GA)
2758,Thomas (ME)
506543,Thomas More
506433,Thompson Rivers (CN)
1403,Tiffin
506224,To Be Announced
505303,Toccoa Falls
709,Toledo
506362,Toronto (CAN)
505310,Tougaloo
506502,Touro
711,Towson
28749,Transylvania
30002,Trevecca Nazarene
30037,Trine
713,Trinity (CT)
505352,Trinity (FL)
715,Trinity (TX)
505332,Trinity Baptist
505334,Trinity Bible (ND)
505350,Trinity Christian
506107,Trinity Int'l
23413,Trinity Washington
506459,Trinity Western (CN)
716,Troy
506361,Truett-McConnell
499,Truman
717,Tufts
718,Tulane
719,Tulsa
505378,Turabo
12830,Tusculum
720,Tuskegee
1255,U New England
9,UAB
506176,UC Clermont
108,UC Davis
109,UC Irvine
506371,UC Merced
111,UC Riverside
112,UC San Diego
104,UC Santa Barbara
113,UC Santa Cruz
9754,UC-Colo. Springs
128,UCF
110,UCLA
164,UConn
302,UIC
309,UIndy
2743,UIW
2743,Incarnate Word
401,UMass Boston
656,UMass Dartmouth
368,UMass Lowell
391,UMBC
393,UMES
456,UNC Asheville
459,UNC Greensboro
537,UNC Pembroke
460,UNCW
504,UNI
506105,Union (KY)
505398,Union (NE)
727,Union (NY)
30153,Union (TN)
505410,Unity
465,UNLV
728,Upper Iowa
