Fla. Atlantic,FAU,,2,Notre Dame,ND,,9,,9,2014-02-15
Troy,TROY,,6,Northern Ky.,NKU,,2,,9,2014-02-15
BYU,BYU,,0,Kansas,KU,,2,"@Peoria, Ariz.        ",9,2014-02-15
Austin Peay,PEAY,,5,Iowa,IOWA,,11,,9,2014-02-15
Alabama A&M,AAMU,,2,Purdue Fort Wayne,PUFW,,5,,9,2014-02-15
Texas Tech,TTU,,10,Indiana,IU,,5,,9,2014-02-15
Presbyterian,PRES,,9,Savannah St.,SVST,,5,,9,2014-02-15
Charleston So.,CHSO,,2,Villanova,VU,,0,,9,2014-02-15
South Carolina,SC,,17,Bucknell,BUCK,,4,,9,2014-02-15
Austin Peay,PEAY,,13,Iowa,IOWA,,15,,9,2014-02-15
Mercer,MER,,5,High Point,HPU,,4,,9,2014-02-15
FIU,FIU,,5,Rutgers,RUT,,0,,7,2014-02-15
South Carolina,SC,,12,Bucknell,BUCK,,2,,9,2014-02-15
Arkansas St.,ARST,,18,Miami (OH),MU,,8,,9,2014-02-15
Kennesaw St.,KENN,,5,Middle Tenn.,MTU,,1,,9,2014-02-15
Duke,DUKE,,5,Binghamton,BING,,1,,9,2014-02-15
UTRGV,UTRG,,11,A&M-Corpus Christi,AMCC,,1,,7,2014-02-15
Tulane,TUL,,3,Ark.-Pine Bluff,ARPB,,2,,7,2014-02-15
UC Davis,UCD,,3,Seattle U,SEA,,4,,9,2014-02-15
Charleston So.,CHSO,,2,Villanova,VU,,1,,9,2014-02-15
FGCU,FGCU,,5,Rhode Island,URI,,6,,9,2014-02-15
Fla. Atlantic,FAU,,16,Notre Dame,ND,,6,,9,2014-02-15
Alabama A&M,AAMU,,5,Purdue Fort Wayne,PUFW,,1,,7,2014-02-15
Texas Tech,TTU,,6,Indiana,IU,,2,,9,2014-02-15
Georgia,UGA,,11,Ga. Southern,GASO,,3,,9,2014-02-15
UNLV,UNLV,,11,Central Mich.,CMU,,8,,9,2014-02-15
Troy,TROY,,5,Northern Ky.,NKU,,6,,9,2014-02-15
Kansas,KU,,11,BYU,BYU,,10,"@Peoria, Ariz.        ",10,2014-02-15
California,CAL,,2,Texas,UT,,6,,1,2014-02-15
Louisiana,ULL,,1,Eastern Ill.,EIU,,0,,1,2014-02-15
California,CAL,,2,Texas,UT,,1,,1,2014-02-15
California,CAL,,2,Texas,UT,,6,,1,2014-02-15
New Mexico St.,NMST,,14,Saint Mary's (CA),SMC,,6,,1,2014-02-15
Louisiana,ULL,,13,Eastern Ill.,EIU,,0,,1,2014-02-15
New Mexico St.,NMST,,8,Saint Mary's (CA),SMC,,6,,1,2014-02-15
New Mexico St.,NMST,,14,Saint Mary's (CA),SMC,,2,,1,2014-02-15
Louisiana,ULL,,13,Eastern Ill.,EIU,,0,,1,2014-02-15
Old Dominion,ODU,,8,Radford,RAD,,7,"@Atlanta, Ga.        ",10,2014-02-16
New Orleans,UNO,,9,Southern U.,SOU,,1,"@Baton Rouge, La.        ",9,2014-02-16
Louisville,UL,,6,Delaware,DEL,,1,"@Charleston, S.C.        ",9,2014-02-16
Minnesota,MIN,,11,Northern Ill.,NIU,,5,"@Glendale, Ariz.        ",9,2014-02-16
Norfolk St.,NORF,,3,Toledo,TOL,,11,"@Greenville, S.C.        ",9,2014-02-16
Richmond,RICH,,6,Liberty,LIB,,11,"@Jacksonville, Fla.        ",9,2014-02-16
Missouri,MIZ,,6,Chicago St.,CSU,,3,"@Lake Charles, La.        ",9,2014-02-16
Butler,BUT,,7,Illinois St.,ILST,,6,"@Nashville, Tenn.        ",10,2014-02-16
Auburn,AUB,,7,UConn,CONN,,3,"@Port Charlotte, Fla.        ",9,2014-02-16
Ohio St.,OSU,,6,Indiana St.,INST,,8,"@Port Charlotte, Fla.        ",9,2014-02-16
Elon,ELON,,6,Cincinnati,UC,,5,"@Raleigh, N.C.        ",10,2014-02-16
Michigan,UM,,7,Washington,UW,,7,"@San Marcos, Texas        ",8,2014-02-16
Morehead St.,MRST,,5,George Mason,GMU,,22,"@Spartanburg, S.C.        ",9,2014-02-16
Ball St.,BSU,,7,Morehead St.,MRST,,5,"@Spartanburg, SC        ",9,2014-02-16
Nebraska,NEB,,3,Gonzaga,GU,,5,"@Tempe, Ariz.        ",9,2014-02-16
Pacific,PAC,,6,Oregon St.,ORST,,14,"@Tempe, Ariz.        ",9,2014-02-16
VMI,VMI,,10,Kentucky,UK,,9,"@Wilmington, N.C.        ",9,2014-02-16
Marshall,MRSH,,3,Towson,TOW,,8,"@Winston-Salem, N.C.        ",9,2014-02-16
Santa Clara,SCU,,6,Boston College,BC,,8,,9,2014-02-16
Jacksonville St.,JVST,,3,Northwestern St.,NWST,,6,,9,2014-02-16
Santa Clara,SCU,,4,Nevada,NEV,,3,,10,2014-02-16
Arkansas,ARK,,8,Appalachian St.,APST,,3,,9,2014-02-16
Wofford,WOF,,4,Ball St.,BSU,,6,,10,2014-02-16
Arizona St.,ASU,,12,Baylor,BAY,,1,,9,2014-02-16
Duke,DUKE,,6,Binghamton,BING,,7,,9,2014-02-16
Belmont,BEL,,3,Bowling Green,BG,,1,,9,2014-02-16
